user_name,user_id,video_id,music,video_desc,video_time,video_length,video_link,n_likes,n_shares,n_comments,n_plays
trollemor,6755878180130898949,6936208260303260934,originalljud,#fördig #bjudpåpizza #pizzatillalla,1614961837,54,https://www.tiktok.com/@trollemor/video/6936208260303260934?lang=en,37800,972,1349,549400
nennefriisk,6850116866981217286,6952139123607997702,original sound,Grannar.. #fyp #fördig #foryou #foryoupage #4u #sverige #tiktok #nennefriisk #haha #fail #hej #2021 #fail #tattoo,1618671030,12,https://www.tiktok.com/@nennefriisk/video/6952139123607997702?lang=en,32400,627,925,425400
alumos,6823306841184273413,6953176644404251909,originalljud,#råtta #taingenskit,1618912604,16,https://www.tiktok.com/@alumos/video/6953176644404251909?lang=en,13600,1389,501,116700
flyktingkareoke,6768725749735834629,6922196634306743558,originalljud,Komma in i bilen ! #hanmårskit,1611699514,8,https://www.tiktok.com/@flyktingkareoke/video/6922196634306743558?lang=en,126500,13700,3239,1200000
javligtrik,6567675447742791685,6952474464483429638,originalljud,Jävligt dyr klocka 🤩,1618749110,9,https://www.tiktok.com/@javligtrik/video/6952474464483429638?lang=en,133800,4418,3382,1500000
nawar_dagher,6642334769933041670,6946502135366438149,original sound,#دويتو مع @princezee #دعمكن_حبايب_القلب #❤ #كسبلور #وين _دعمكن اصدقائي,1617358571,10,https://www.tiktok.com/@nawar_dagher/video/6946502135366438149?lang=en,794,11,10,67400
nawar_dagher,6642334769933041670,6949931338485058821,الصوت الأصلي,#منسف_سوري #كبس_رز  sponsrade by Järfälla grossen  /adress allmogeplatsen 10#كسبلور #لباااااااا_عينك #سوريا #فلسطين #لعراق #دعمكن_حبايب_القلب #♥️,1618156990,59,https://www.tiktok.com/@nawar_dagher/video/6949931338485058821?lang=en,419,283,61,8156
bellapoarch,6748458643983238149,6948841332211223813,Baby Pew pew pew,Pew pew pew✨,1617903203,8,https://www.tiktok.com/@bellapoarch/video/6948841332211223813?lang=en,2300000,7587,23700,15700000
bellapoarch,6748458643983238149,6948166720016108805,original sound,Today’s mood🙂,1617746133,9,https://www.tiktok.com/@bellapoarch/video/6948166720016108805?lang=en,2200000,5145,22600,15700000
respect.boss15,6867943312944284677,6937542274809138437,Astronaut In The Ocean,#36 #fyp #respect,1615272444,13,https://www.tiktok.com/@respect.boss15/video/6937542274809138437?lang=en,37600,245,72,870900
bellapoarch,6748458643983238149,6923265018234424582,What A Shame,What a shame😌,1611948260,15,https://www.tiktok.com/@bellapoarch/video/6923265018234424582?lang=en,1500000,9735,70100,16900000
lisaandlena,6804783597552239621,6943634794605448454,my audio yellow,It was all yellow...💛✨ #makeup,1616690962,14,https://www.tiktok.com/@lisaandlena/video/6943634794605448454?lang=en,1000000,1260,4145,5100000
lisaandlena,6804783597552239621,6930671826670537990,Lady Gaga Judas,#draft from Christmas... well I tried to do a cool transition 😅,1613672792,12,https://www.tiktok.com/@lisaandlena/video/6930671826670537990?lang=en,495600,4906,6664,2700000
lisaandlena,6804783597552239621,6925850729219394821,Wellerman - Sea Shanty / 220 KID x Billen Ted Remix,No caption needed...😶 #twinproblems,1612550293,13,https://www.tiktok.com/@lisaandlena/video/6925850729219394821?lang=en,1400000,4487,7525,7600000
lisaandlena,6804783597552239621,6922505380782198022,You give me butterflies ,That could be 100% us... 😂😂 #twins,1611771394,11,https://www.tiktok.com/@lisaandlena/video/6922505380782198022?lang=en,856700,1433,3685,4200000
youneszarou,6717651461067604997,6953549516721114373,Originalton,Tutorial #yzfamily #tutorial #fyp #fürdich,1618999420,15,https://www.tiktok.com/@youneszarou/video/6953549516721114373?lang=en,173400,102,693,1600000
julienmagic,6650502100487159814,6944591719207931142,originalljud,Invisible Chair Prank 😱follow @julienmagic #illusion #magician #magic #top10 #best #trickshot,1616913771,25,https://www.tiktok.com/@julienmagic/video/6944591719207931142?lang=en,490800,5092,2643,12600000
itsdanneking,6830836418475721733,6947299458254228742,Write This Down(DJ弹鼓版),Mt bean 🐐#fyp #foryoupage #viral #4u #respect @zetor_rl @itsadde,1617544209,19,https://www.tiktok.com/@itsdanneking/video/6947299458254228742?lang=en,591100,4533,3452,3900000
bellapoarch,6748458643983238149,6945932141863783685,Cute Emoji Song (pls like original video thanku),If I see that you love alpacas on your @tinder profile... 😏💚🦙 #tinderpartner,1617225855,10,https://www.tiktok.com/@bellapoarch/video/6945932141863783685?lang=en,1700000,6404,17700,16600000
therese,6804836888386962438,6926994413432442118,I just did a bad thing bill wurtz,Oops var kanske lite hårdhänt 😅 #dermaroller #dermarolling #microneedling #microneedle #hudvård #skintok #skincare,1612816579,8,https://www.tiktok.com/@therese/video/6926994413432442118?lang=en,116100,192,796,1700000
daniel.ethadpoor,6862032809717433350,6948470696649575685,Wii - Mii Channel,#barber #barbershop #beard #hair #hairstyle #haircut #mood #model #style #stylish #fashion #sverige #stockholm #italia #israel #usa #london #japan #a,1617816908,43,https://www.tiktok.com/@daniel.ethadpoor/video/6948470696649575685?lang=en,1344,9,6,96600
kyliejenner,6654362767867265030,6951976455400099077,original sound,time goes too fast 😥😥🤍,1618633159,9,https://www.tiktok.com/@kyliejenner/video/6951976455400099077?lang=en,15000000,47100,78500,56900000
lisaandlena,6804783597552239621,6930581129409907974,acting like that (feat. Machine Gun Kelly),Get ready with me 🦋✨💘,1613651687,15,https://www.tiktok.com/@lisaandlena/video/6930581129409907974?lang=en,423300,472,2013,2900000
strange.stufff,6825645373560112134,6949068471313485061,Oh No,#fyp#foryou#foryoupage#4u#4upage#4you#4ypupage#satisfaction#satisfyingvideos#oddlysatisfying#satisfyinglips#viral#xyzbca#smooth#fördig#fördigpage,1617956117,17,https://www.tiktok.com/@strange.stufff/video/6949068471313485061?lang=en,528,0,17,56000
solbrillebrudarna,237719848145879040,6953516509461368070,original sound,,1618991738,8,https://www.tiktok.com/@solbrillebrudarna/video/6953516509461368070?lang=en,7625,239,85,172200
simonkafi,6749146317244974086,6952497845861616902,originalljud,Besvara @linnsundberg5 I betalt samarbete med Yaxell Knivar 🔪🍓🍫,1618754552,23,https://www.tiktok.com/@simonkafi/video/6952497845861616902?lang=en,105100,352,1094,1100000
angeliiiiiinaxxx,6889313035480384513,6946878459755007238,originalljud,Holy shit😀#fyppppppppppppppppppppppp #sverige #4u #funney #sverigehumor #arabs #arabmumsbelike,1617446189,34,https://www.tiktok.com/@angeliiiiiinaxxx/video/6946878459755007238?lang=en,26000,1286,359,382500
_nordichillbillies_,6890862212296213505,6933254410608839942,originalljud,#Taximeme,1614274096,59,https://www.tiktok.com/@_nordichillbillies_/video/6933254410608839942?lang=en,44100,2141,547,344500
kawa.horo,6778263993628427269,6946595814609341702,الصوت الأصلي,الرد على @nesrinchachachou Great# Burger restaurang i #Västerås #Erikslund #shoppingcenter￼￼#@janhabash2 #västerås #يتبوري😌🇸🇪 #stokholm_sweden🇸🇪,1617380378,15,https://www.tiktok.com/@kawa.horo/video/6946595814609341702?lang=en,527,14,45,23400
zeinamourtada,6806410064166781957,6953534870383496453,originalljud,Samosa 😍 Så goda ❤️ Recept på min Youtubekanal eller Instagram. #samosa #mat #food #fördig,1618996011,56,https://www.tiktok.com/@zeinamourtada/video/6953534870383496453?lang=en,523,31,25,12300
calvinmannen,6774727065784730629,6926575800741350661,Cest La Vie,#fyp #foryou #xyzbca #viral,1612719112,9,https://www.tiktok.com/@calvinmannen/video/6926575800741350661?lang=en,6350,1125,178,80100
